name,host,port,username,password,platform,role,tags,key_path,proxy_jump
spine01,198.18.128.101,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|spine
spine02,198.18.128.102,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|spine
leaf1,198.18.128.103,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|leaf
leaf2,198.18.128.104,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|leaf
border1,198.18.128.105,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|border
border2,198.18.128.106,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|border
dmz1,198.18.128.107,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|dmz
dmz2,198.18.128.114,22,net-admin,env:IOSXE_PASS,iosxe,router,evpn|dmz
core1,198.18.128.108,22,net-admin,env:IOSXE_PASS,nxos,core,core
core2,198.18.128.109,22,net-admin,env:IOSXE_PASS,nxos,core,core
dhcp-server,198.18.128.110,22,net-admin,env:IOSXE_PASS,iosxe,router,infra|dhcp
fw-shared-services,198.18.134.200,22,net-admin,env:IOSXE_PASS,iosxe,router,infra|firewall
script-server,198.18.134.28,22,root,,linux,bastion,infra|jump,env:SSH_BASTION_KEY,
splunk,18.224.25.161,22,ec2-user,,linux,splunk,splunk|sh|hf|otel,env:SSH_KEY_PATH,script-server
